"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 10 11:05:34 GMT 2022","Wed Aug 10 11:05:34 GMT 2022","177","","tests.MTSBankTest","","tests.MTSBankTest","downloadDocumentTest","Проверка кнопки со ссылкой на Telegram","На главной странице сайта в разделе 'Помощь клиентам' нажимаем 'Тарифы и документы', скачивается документ по имени, проверяется, что документ содержит текст"
"broken","Wed Aug 10 11:05:34 GMT 2022","Wed Aug 10 11:05:35 GMT 2022","276","","tests.MTSBankTest","","tests.MTSBankTest","telegramLinkTest","Проверка кнопки со ссылкой на Telegram","На главной странице сайта нажимается кнопка соцсети 'Telegram', проверяется открытие страницы чата МТС Банка в 'Telegram'"
"broken","Wed Aug 10 11:05:34 GMT 2022","Wed Aug 10 11:05:34 GMT 2022","349","","tests.MTSBankTest","","tests.MTSBankTest","incorrectPhoneMassageTest","Некорректный ввод номера телефона при оформлении дебетовой карты","На странице дебетовой карты проверяется вывод сообщения 'Введите верный номер телефона' при некорректном вводе номера телефона."
"broken","Wed Aug 10 11:05:30 GMT 2022","Wed Aug 10 11:05:34 GMT 2022","4067","","tests.MTSBankTest","","tests.MTSBankTest","depositIncomeTest","Проверка работы онлайн-калькулятора вклада","На странице вклада заполняются поля, необходимые для работы онлайн-калкулятора, проверяется корректность работы онлайн-калькулятора и вывод 'Дохода по счету'"
"broken","Wed Aug 10 11:05:35 GMT 2022","Wed Aug 10 11:05:35 GMT 2022","180","","tests.MTSBankTest","","tests.MTSBankTest","productNameTest","Проверка имён дебетовых карт","На странице с дебетовыми картами выполняется проверка того, что все названия карт содержат слово 'дебетовая'."
