"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 04:55:06 GMT 2022","Thu Aug 11 04:55:32 GMT 2022","26379","","tests.MTSBankTests","","tests.MTSBankTests","depositIncomeTest","Проверка работы онлайн-калькулятора вклада","На странице вклада заполняются поля, необходимые для работы онлайн-калкулятора, проверяется корректность работы онлайн-калькулятора и вывод 'Дохода по счету'"
"passed","Thu Aug 11 04:57:09 GMT 2022","Thu Aug 11 04:57:47 GMT 2022","37427","","tests.MTSBankTests","","tests.MTSBankTests","productNameTest","Проверка имён дебетовых карт","На странице с дебетовыми картами выполняется проверка того, что все названия карт содержат слово 'дебетовая'."
"passed","Thu Aug 11 04:56:18 GMT 2022","Thu Aug 11 04:57:00 GMT 2022","42221","","tests.MTSBankTests","","tests.MTSBankTests","downloadDocumentTest","Проверка скачивания и содержимого документа","На главной странице сайта в разделе 'Помощь клиентам' нажимаем 'Тарифы и документы', скачивается документ по имени, проверяется, что документ содержит текст"
"passed","Thu Aug 11 04:55:33 GMT 2022","Thu Aug 11 04:56:18 GMT 2022","45387","","tests.MTSBankTests","","tests.MTSBankTests","incorrectPhoneMassageTest","Некорректный ввод номера телефона при оформлении дебетовой карты","На странице дебетовой карты проверяется вывод сообщения 'Введите верный номер телефона' при некорректном вводе номера телефона."
"passed","Thu Aug 11 04:57:00 GMT 2022","Thu Aug 11 04:57:09 GMT 2022","8627","","tests.MTSBankTests","","tests.MTSBankTests","telegramLinkTest","Проверка кнопки со ссылкой на Telegram","На главной странице сайта нажимается кнопка соцсети 'Telegram', проверяется открытие страницы чата МТС Банка в 'Telegram'"
