"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 11:19:10 GMT 2022","Wed Aug 10 11:19:31 GMT 2022","21440","","tests.MTSBankTest","","tests.MTSBankTest","depositIncomeTest","Проверка работы онлайн-калькулятора вклада","На странице вклада заполняются поля, необходимые для работы онлайн-калкулятора, проверяется корректность работы онлайн-калькулятора и вывод 'Дохода по счету'"
"passed","Wed Aug 10 11:21:03 GMT 2022","Wed Aug 10 11:21:45 GMT 2022","42288","","tests.MTSBankTest","","tests.MTSBankTest","productNameTest","Проверка имён дебетовых карт","На странице с дебетовыми картами выполняется проверка того, что все названия карт содержат слово 'дебетовая'."
"passed","Wed Aug 10 11:20:56 GMT 2022","Wed Aug 10 11:21:03 GMT 2022","7526","","tests.MTSBankTest","","tests.MTSBankTest","telegramLinkTest","Проверка кнопки со ссылкой на Telegram","На главной странице сайта нажимается кнопка соцсети 'Telegram', проверяется открытие страницы чата МТС Банка в 'Telegram'"
"passed","Wed Aug 10 11:19:32 GMT 2022","Wed Aug 10 11:20:14 GMT 2022","42576","","tests.MTSBankTest","","tests.MTSBankTest","incorrectPhoneMassageTest","Некорректный ввод номера телефона при оформлении дебетовой карты","На странице дебетовой карты проверяется вывод сообщения 'Введите верный номер телефона' при некорректном вводе номера телефона."
"passed","Wed Aug 10 11:20:14 GMT 2022","Wed Aug 10 11:20:56 GMT 2022","41424","","tests.MTSBankTest","","tests.MTSBankTest","downloadDocumentTest","Проверка скачивания и содержимого документа","На главной странице сайта в разделе 'Помощь клиентам' нажимаем 'Тарифы и документы', скачивается документ по имени, проверяется, что документ содержит текст"
