"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 10 11:14:16 GMT 2022","Wed Aug 10 11:14:16 GMT 2022","182","","tests.MTSBankTest","","tests.MTSBankTest","downloadDocumentTest","Проверка скачивания и содержимого документа","На главной странице сайта в разделе 'Помощь клиентам' нажимаем 'Тарифы и документы', скачивается документ по имени, проверяется, что документ содержит текст"
"broken","Wed Aug 10 11:14:11 GMT 2022","Wed Aug 10 11:14:15 GMT 2022","4041","","tests.MTSBankTest","","tests.MTSBankTest","depositIncomeTest","Проверка работы онлайн-калькулятора вклада","На странице вклада заполняются поля, необходимые для работы онлайн-калкулятора, проверяется корректность работы онлайн-калькулятора и вывод 'Дохода по счету'"
"broken","Wed Aug 10 11:14:16 GMT 2022","Wed Aug 10 11:14:16 GMT 2022","290","","tests.MTSBankTest","","tests.MTSBankTest","incorrectPhoneMassageTest","Некорректный ввод номера телефона при оформлении дебетовой карты","На странице дебетовой карты проверяется вывод сообщения 'Введите верный номер телефона' при некорректном вводе номера телефона."
"broken","Wed Aug 10 11:14:16 GMT 2022","Wed Aug 10 11:14:16 GMT 2022","172","","tests.MTSBankTest","","tests.MTSBankTest","telegramLinkTest","Проверка кнопки со ссылкой на Telegram","На главной странице сайта нажимается кнопка соцсети 'Telegram', проверяется открытие страницы чата МТС Банка в 'Telegram'"
"broken","Wed Aug 10 11:14:16 GMT 2022","Wed Aug 10 11:14:16 GMT 2022","196","","tests.MTSBankTest","","tests.MTSBankTest","productNameTest","Проверка имён дебетовых карт","На странице с дебетовыми картами выполняется проверка того, что все названия карт содержат слово 'дебетовая'."
