"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 09 09:42:18 GMT 2022","Tue Aug 09 09:43:01 GMT 2022","43693","","tests.MTSBankTest","","tests.MTSBankTest","productNameTest","Проверка имён дебетовых карт","На странице с дебетовыми картами выполняется проверка того, что все названия карт содержат слово 'дебетовая'."
"passed","Tue Aug 09 09:40:57 GMT 2022","Tue Aug 09 09:41:31 GMT 2022","34288","","tests.MTSBankTest","","tests.MTSBankTest","depositIncomeTest","Проверка работы онлайн-калькулятора вклада","На странице вклада заполняются поля, необходимые для работы онлайн-калкулятора, проверяется корректность работы онлайн-калькулятора и вывод 'Дохода по счету'"
"passed","Tue Aug 09 09:41:32 GMT 2022","Tue Aug 09 09:42:17 GMT 2022","45773","","tests.MTSBankTest","","tests.MTSBankTest","incorrectPhoneMassageTest","Некорректный ввод номера телефона при оформлении дебетовой карты","На странице дебетовой карты проверяется вывод сообщения 'Введите верный номер телефона' при некорректном вводе номера телефона."
