"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 09 09:11:05 GMT 2022","Tue Aug 09 09:11:52 GMT 2022","47096","","tests.MTSBankTest","","tests.MTSBankTest","incorrectPhoneMassageTest","Некорректный ввод номера телефона при оформлении дебетовой карты","На странице дебетовой карты проверяется вывод сообщения 'Введите верный номер телефона' при некорректном вводе номера телефона."
"passed","Tue Aug 09 09:11:52 GMT 2022","Tue Aug 09 09:12:37 GMT 2022","44334","","tests.MTSBankTest","","tests.MTSBankTest","productNameTest","Проверка имён дебетовых карт","На странице с дебетовыми картами выполняется проверка того, что все названия карт содержат слово 'дебетовая'."
"failed","Tue Aug 09 09:10:39 GMT 2022","Tue Aug 09 09:11:05 GMT 2022","25937","","tests.MTSBankTest","","tests.MTSBankTest","depositIncomeTest","Проверка работы онлайн-калькулятора вклада","На странице вклада заполняются поля, необходимые для работы онлайн-калкулятора, проверяется корректность работы онлайн-калькулятора и вывод 'Дохода по счету'"
