"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 06:30:25 GMT 2022","Wed Aug 10 06:30:45 GMT 2022","19501","","tests.MTSBankTest","","tests.MTSBankTest","telegramLinkTest","Проверка кнопки со ссылкой на Telegram","На главной странице сайта нажимается кнопка соцсети 'Telegram', проверяется открытие страницы чата МТС Банка в 'Telegram'"
"passed","Wed Aug 10 06:30:45 GMT 2022","Wed Aug 10 06:31:21 GMT 2022","36208","","tests.MTSBankTest","","tests.MTSBankTest","productNameTest","Проверка имён дебетовых карт","На странице с дебетовыми картами выполняется проверка того, что все названия карт содержат слово 'дебетовая'."
"failed","Wed Aug 10 06:29:22 GMT 2022","Wed Aug 10 06:29:41 GMT 2022","18650","","tests.MTSBankTest","","tests.MTSBankTest","depositIncomeTest","Проверка работы онлайн-калькулятора вклада","На странице вклада заполняются поля, необходимые для работы онлайн-калкулятора, проверяется корректность работы онлайн-калькулятора и вывод 'Дохода по счету'"
"passed","Wed Aug 10 06:29:41 GMT 2022","Wed Aug 10 06:30:25 GMT 2022","43655","","tests.MTSBankTest","","tests.MTSBankTest","incorrectPhoneMassageTest","Некорректный ввод номера телефона при оформлении дебетовой карты","На странице дебетовой карты проверяется вывод сообщения 'Введите верный номер телефона' при некорректном вводе номера телефона."
